Date,PH,AMMONIA,TEMP,DO,TURBIDITY
02-02-2022 03:40,6,0.1,17.47,7,69.6
02-02-2022 04:00,5.3,0.1,19.75,11.4,70.9
02-02-2022 04:20,5.1,0.1,14.67,9.8,44.9
02-02-2022 04:40,5.3,0.1,16.98,9.4,85.2
02-02-2022 05:00,6,0,15.95,6.6,87.2
02-02-2022 05:20,5.6,0,18.16,9.4,8.3
02-02-2022 05:40,5.8,0.1,16.43,6.2,83.2
02-02-2022 06:00,5.9,0.1,15.1,7.6,51.8
02-02-2022 06:20,6,0,17.39,8.4,84.3
02-02-2022 06:40,5.8,0.1,18.35,9.8,79.3
02-02-2022 07:00,5.2,0,19.36,8.5,25.5
02-02-2022 07:20,6,0,17.34,6.2,65.2
02-02-2022 07:40,5,0.1,15.2,8.5,75.3
02-02-2022 08:00,5.8,0,15.82,9.8,43.1
02-02-2022 08:20,5.1,0.1,15,11.7,81.5
02-02-2022 08:40,5.2,0.1,16.13,10.9,25.2
02-02-2022 09:00,5.7,0.1,17.47,6.8,42.1
02-02-2022 09:20,5.9,0.1,16.13,11.9,55.3
02-02-2022 09:40,5.1,0,14.14,8.2,56.5
02-02-2022 10:00,5.5,0,15.7,7.3,82.7
02-02-2022 10:20,5.9,0.1,16.25,9.2,86.5
02-02-2022 10:40,5.8,0,16.87,6.4,46.5
02-02-2022 11:00,5.9,0.1,18.79,10.6,78.4
02-02-2022 11:20,5.8,0.1,16.46,9.5,42.5
02-02-2022 11:40,5.8,0.1,14.67,11.1,25.5
02-02-2022 12:00,5.3,0,15.24,8,77.4
02-02-2022 12:20,5.3,0,17.28,9.4,76.1
02-02-2022 12:40,5,0.1,16.7,9.2,6
02-02-2022 13:00,5.6,0.1,15.85,11.1,26.3
02-02-2022 13:20,5.7,0.1,14.55,10,69.5
02-02-2022 13:40,5.2,0.1,15.2,7.9,11.2
02-02-2022 14:00,5.1,0.1,19.33,7.1,42.8
02-02-2022 14:20,5.5,0.1,17.52,6.9,10.5
02-02-2022 14:40,6,0.1,17.13,9.8,54.7
02-02-2022 15:00,5.8,0,14.62,6.2,9.1
02-02-2022 15:20,5.1,0.1,14.87,10.7,54.2
02-02-2022 15:40,5.5,0.1,16.44,9,16.6
02-02-2022 16:00,5.4,0.1,15.05,6.5,20.8
02-02-2022 16:20,5.5,0.1,16.11,6.7,73.5
02-02-2022 16:40,5,0.1,17.89,11.5,79.3
02-02-2022 17:00,5.7,0,14.77,7.3,71
02-02-2022 17:19,5.1,0,18.71,6.6,73.8
02-02-2022 17:39,5.6,0,17.03,10.1,9.6
02-02-2022 17:59,5.1,0.1,15.17,6.2,55.6
02-02-2022 18:19,5.1,0.1,14.16,6.8,6.9
02-02-2022 18:39,5.9,0,16.84,9.8,78
02-02-2022 18:59,5,0,16.75,11.9,76
02-02-2022 19:19,5.3,0.1,17.91,7.7,85.2
02-02-2022 19:39,5.8,0.1,15.03,11.6,33.5
02-02-2022 19:59,5.9,0.1,16.39,7.3,72
02-02-2022 20:19,5.3,0,15.22,9,6.3
02-02-2022 20:39,5.5,0,17.83,9.1,31.8
02-02-2022 20:59,6,0,18.98,10.4,55.7
02-02-2022 21:19,5,0.1,18.16,8.4,34.4
02-02-2022 21:39,6,0,17.05,11.2,84.6
02-02-2022 21:59,5,0.1,19.77,6.8,4.7
02-02-2022 22:19,5.5,0,15.68,6.3,48.5
02-02-2022 22:39,5,0.1,15.99,9.7,10.8
02-02-2022 22:59,5.6,0.1,19.65,7.4,23.3
02-02-2022 23:19,5.9,0,15.09,10.3,32.5
02-02-2022 23:39,5,0,18.25,10.8,17.4
02-02-2022 23:59,5.1,0.1,17.19,8.6,72.3
03-02-2022 00:19,5.6,0,14.8,7.2,82.5
03-02-2022 00:39,5.5,0.1,14.42,8.1,30.2
03-02-2022 00:59,5.7,0.1,14.82,11.3,23
03-02-2022 01:19,5.7,0.1,14.68,6.5,63.8
03-02-2022 01:39,5.3,0.1,14.13,9.2,32.7
03-02-2022 01:59,5.9,0.1,14.81,10.4,1.6
03-02-2022 02:19,5.1,0.1,18.92,9.2,32
03-02-2022 02:39,5,0,17.98,6.8,82.2
03-02-2022 02:59,5.4,0,17.86,11.6,78.9
03-02-2022 03:19,5.6,0,19.54,10.6,35.1
03-02-2022 03:39,5.7,0.1,19.22,6.7,41.1
03-02-2022 03:59,5.3,0,15.64,10.1,69.1
03-02-2022 04:19,5,0,19.97,8.6,63.4
03-02-2022 04:39,5.3,0,18.83,6.5,35.3
03-02-2022 04:59,5.3,0.1,19.65,6.2,13.6
03-02-2022 05:19,5.5,0.1,17.5,10.3,71.6
03-02-2022 05:39,5.8,0,18.34,10.1,65.4
03-02-2022 05:59,5.4,0,19.64,11.7,35.1
03-02-2022 06:19,5.2,0.1,18.18,11.9,38.1
03-02-2022 06:39,5.3,0,18.49,10.7,32.2
03-02-2022 06:59,5.2,0.1,17.03,8.7,66.7
03-02-2022 07:19,5.1,0,18.57,11.6,87.7
03-02-2022 07:39,5.4,0.1,15.79,7.3,14.4
03-02-2022 07:59,5.7,0,15.35,8.6,4.5
03-02-2022 08:19,5.8,0,19.37,9.6,9.3
03-02-2022 08:39,5,0.1,14.76,10.3,10.7
03-02-2022 08:59,5.1,0.1,15.49,6.6,63.8
03-02-2022 09:19,5.2,0,16.67,7.2,30.5
03-02-2022 09:39,5.1,0.1,15.12,8.1,58.2
03-02-2022 09:59,5.6,0,16.28,6.7,59.3
03-02-2022 10:19,5.7,0.1,17.14,9.9,49.2
03-02-2022 10:39,5.6,0.1,18.5,6,31.2
03-02-2022 10:59,5.6,0.1,14.22,8.8,19.3
03-02-2022 11:19,5.8,0,18.45,10.8,23.3
03-02-2022 11:39,5,0,19.95,7.8,61.9
03-02-2022 11:59,5.2,0,16.32,8.5,87.9
03-02-2022 12:19,5.9,0,19.17,8.5,41.3
03-02-2022 12:39,5.3,0,15.79,7.3,46.3
03-02-2022 12:59,5.4,0.1,15.74,10.6,22.1
03-02-2022 13:19,5.6,0.1,17.85,6.9,86.6
03-02-2022 13:39,5.2,0.1,14.9,11.5,50
03-02-2022 13:59,5.1,0.1,19.34,11.9,46.9
03-02-2022 14:19,5.4,0,17.78,7.7,55.1
03-02-2022 14:39,5.6,0.1,17.29,6.1,7.2
03-02-2022 14:59,5.5,0,19.74,7.5,14.9
03-02-2022 15:19,5.4,0,19.45,6,55.2
03-02-2022 15:39,5.7,0.1,16.67,7,52.8
03-02-2022 15:59,5.4,0,16.47,6.9,83.4
03-02-2022 16:19,5.7,0.1,19.62,6.5,18.2
03-02-2022 16:39,6,0,16.28,9.8,29.6
03-02-2022 16:59,5.1,0,17,10.9,66.9
03-02-2022 17:19,5.1,0,15.24,6,58.1
03-02-2022 17:39,5.7,0,14.21,8,2.5
03-02-2022 17:59,5.7,0,14.35,9.8,53.6
03-02-2022 18:19,5.1,0.1,19.67,10.9,85.6
03-02-2022 18:39,6,0.1,18.55,6.8,11.9
03-02-2022 18:59,5.4,0,14.58,7.3,48.4
03-02-2022 19:19,5.2,0,14.06,7.8,3.3
03-02-2022 19:39,5,0,15.39,7.3,6.1
03-02-2022 19:59,5.5,0,15.37,8.1,6.6
03-02-2022 20:19,5.8,0.1,14.62,10.7,44.8
03-02-2022 20:39,5.7,0.1,19.49,10.1,31.3
03-02-2022 20:59,5.5,0.1,17.16,10.1,13.4
03-02-2022 21:19,5.4,0,14.98,12,71.3
03-02-2022 21:39,5.5,0,17.17,8.4,41.1
03-02-2022 21:59,5,0,14.8,8.6,38.3
03-02-2022 22:19,5.5,0.1,17.3,10.4,88.5
03-02-2022 22:39,5.4,0,16.6,7.8,70.7
03-02-2022 22:59,5.4,0.1,15.89,11.6,11.8
03-02-2022 23:19,5.6,0.1,17.95,10.5,76.2
03-02-2022 23:39,6,0.1,19.5,11.3,48.5
03-02-2022 23:59,5.8,0.1,14.65,8.3,14.5
04-02-2022 00:19,5.5,0.1,16.01,9.2,25.4
04-02-2022 00:39,5.5,0.1,15.55,6.7,14.4
04-02-2022 00:59,5.2,0.1,15.43,11.8,13.4
04-02-2022 01:19,5,0,14.29,6.9,37.6
04-02-2022 01:39,5.6,0.1,14.8,10.7,55.8
04-02-2022 01:59,5.2,0,15.25,6.6,46.7
04-02-2022 02:19,6,0,19.3,12,85.9
04-02-2022 02:39,5.7,0.1,19.76,9.4,48.3
04-02-2022 02:59,5.1,0,18.85,9.8,83.8
04-02-2022 03:19,5.3,0.1,16.43,8.9,61.8
04-02-2022 03:39,5,0.1,16.64,11.9,76.8
04-02-2022 03:59,5.1,0.1,14.76,8.4,32.9
04-02-2022 04:19,5.4,0.1,14.07,10.2,80.4
04-02-2022 04:39,5,0,17.69,8.6,68.6
04-02-2022 04:59,5.7,0.1,18.68,11.5,66.8
04-02-2022 05:19,5.9,0.1,18.4,11.7,31.7
04-02-2022 05:39,5,0,17.34,8.7,44.4
04-02-2022 05:59,5,0,14.28,10,10.1
04-02-2022 06:19,5,0.1,18.41,8.4,73.4
04-02-2022 06:39,6,0.1,15.88,11.9,15.8
04-02-2022 06:59,5.1,0.1,19.65,9,54.5
04-02-2022 07:19,5.4,0,16.12,8.2,6.8
04-02-2022 07:39,6,0.1,14.39,11,55.3
04-02-2022 07:59,5.5,0.1,17.13,10.2,15.5
04-02-2022 08:19,6,0.1,18.91,8.3,45.8
04-02-2022 08:39,5.8,0,15.86,8.6,60.1
04-02-2022 08:59,5.7,0,19.07,9.3,16.9
04-02-2022 09:19,5.2,0,16.7,7.1,58.7
04-02-2022 09:39,5.6,0,19.01,11.4,30.9
04-02-2022 09:59,5.2,0,16.25,11.5,28
04-02-2022 10:19,5.8,0.1,14.28,7.2,57.1
04-02-2022 10:39,5,0,18.06,6.8,11.8
04-02-2022 10:59,5.4,0,14.13,10.6,29.9
04-02-2022 11:19,5.9,0,16.26,7.4,27.4
04-02-2022 11:39,5.8,0.1,14.62,8.6,50.7
04-02-2022 11:59,5.4,0,18.24,11,88.7
04-02-2022 12:19,5.7,0,18,9.3,84.8
04-02-2022 12:39,5.6,0.1,17.67,10.8,83.5
04-02-2022 12:59,5.5,0,15.15,9.7,11.5
04-02-2022 13:19,5.2,0,16.24,6.2,10.3
04-02-2022 13:39,5,0.1,15.11,7.2,18.7
04-02-2022 13:59,5.5,0,15.6,7.2,20.9
04-02-2022 14:19,5.9,0.1,19.83,6.8,30.4
04-02-2022 14:39,5.9,0.1,17.36,11.9,23.1
04-02-2022 14:59,5.9,0,19.98,10,19.6
04-02-2022 15:19,5,0,16.32,6.4,86.8
04-02-2022 15:39,5.2,0.1,17.99,8,51.5
04-02-2022 15:59,5.2,0.1,18.05,9,45.5
04-02-2022 16:19,5.4,0,16.19,9.1,8.1
04-02-2022 16:39,5.2,0.1,14.17,9.7,57.2
04-02-2022 16:59,5.4,0.1,14.06,10.4,60.7
04-02-2022 17:19,5.8,0,19.9,11.2,79
04-02-2022 17:39,5.1,0,16.05,7.9,15.2
04-02-2022 17:59,5.5,0,17.23,10.3,25.3
04-02-2022 18:19,5.8,0.1,15.14,8.9,43.7
04-02-2022 18:39,5.3,0,14.77,11.1,69.6
04-02-2022 18:59,6,0.1,16.55,6,12.8
04-02-2022 19:19,5.1,0.1,14.4,7.7,4.7
04-02-2022 19:39,5,0,18.73,11.6,80.6
04-02-2022 19:59,5.3,0.1,19.61,7.5,39.4
04-02-2022 20:19,5.8,0,19.18,12,34
04-02-2022 20:39,5,0,18.84,6.8,1.4
04-02-2022 20:59,6,0,14.77,7,62.7
04-02-2022 21:19,5.2,0,16.4,9.8,45.9
04-02-2022 21:39,5.8,0.1,17.14,8,70.5
04-02-2022 21:59,5.4,0.1,19.16,9.4,29.6
04-02-2022 22:19,5.6,0,14.61,9.4,60.9
04-02-2022 22:39,5,0,19.83,7.6,43.6
04-02-2022 22:59,5.7,0.1,18.18,8.6,68.4
04-02-2022 23:19,5,0,17.26,8.9,10.3
04-02-2022 23:39,5.5,0,15.34,11.4,84.7
04-02-2022 23:59,5.5,0,16.57,10.3,80.7
05-02-2022 00:19,5.5,0,16.78,7.9,15.7
05-02-2022 00:39,5.7,0,15.74,6.1,20.7
05-02-2022 00:59,5.6,0,17.09,9.6,44.4
05-02-2022 01:19,5,0.1,18.84,9.6,46.6
05-02-2022 01:39,5.5,0,19.73,9.3,23.1
05-02-2022 01:59,5.4,0,19.47,8.1,77.2
05-02-2022 02:19,5.3,0,18.51,6.5,34.3
05-02-2022 02:39,5.6,0,16.53,10.5,50.1
05-02-2022 02:59,5.1,0,17.72,10.1,46.3
05-02-2022 03:19,5.9,0.1,15.88,8.3,76.2
05-02-2022 03:39,5.9,0.1,16.52,9.9,39.9
05-02-2022 03:59,6,0.1,19.64,10.8,80.5
05-02-2022 04:19,5.6,0.1,15.56,8.3,36.2
05-02-2022 04:39,5.3,0.1,16.85,8.5,34.4
05-02-2022 04:59,5.6,0.1,19.86,8.5,63.9
05-02-2022 05:19,5.4,0,17.38,9.1,49.8
05-02-2022 05:39,5.6,0.1,16.14,8.1,33.9
05-02-2022 05:59,5.8,0.1,16.35,10.2,19.9
05-02-2022 06:19,6,0.1,18.06,11.3,87.3
05-02-2022 06:39,5.5,0,17.35,7.1,52.5
05-02-2022 06:59,5.9,0,19.41,9.1,0.8
05-02-2022 07:19,6,0,16.38,12,59.6
05-02-2022 07:39,5.7,0,15.6,7.5,2.5
05-02-2022 07:59,5.6,0,15.96,7.4,81
05-02-2022 08:19,5.7,0.1,15.43,7.3,35.6
05-02-2022 08:39,5.9,0.1,19.99,7.8,40
05-02-2022 08:59,5.2,0.1,16.57,10.6,44.7
05-02-2022 09:19,5.1,0.1,16.66,7.2,60.6
05-02-2022 09:39,5.9,0,14.75,8.8,86.9
05-02-2022 09:59,6,0,15.21,8.4,74.1
05-02-2022 10:19,5,0,16.05,9.7,69.2
05-02-2022 10:39,5,0,19.39,8.4,88.5
05-02-2022 10:59,5,0,19.44,11.8,88.9
05-02-2022 11:19,5.1,0,15.64,10.2,57.4
05-02-2022 11:39,5,0.1,18.33,7.2,51.3
05-02-2022 11:59,5.8,0,19.76,9,14.2
05-02-2022 12:19,5.6,0.1,18.64,10,24.5
05-02-2022 12:39,5.4,0,15.91,9.6,3.9
05-02-2022 12:59,5.1,0.1,14.06,11,67.9
05-02-2022 13:19,5,0.1,17.35,6.3,67.2
05-02-2022 13:39,5.3,0.1,17.21,9.6,51.6
05-02-2022 13:59,5.4,0.1,17.41,9.8,0.6
05-02-2022 14:19,5.7,0,18.56,8.7,70.4
05-02-2022 14:39,5.7,0.1,18.77,11.1,24.5
05-02-2022 14:59,5.2,0.1,18.8,9.6,57.2
05-02-2022 15:19,5.3,0.1,14.83,7,39.8
05-02-2022 15:39,5.4,0.1,15.07,8.8,83.9
05-02-2022 15:59,6,0,18.89,10.5,58.9
05-02-2022 16:19,6,0.1,16.18,8.6,56.4
05-02-2022 16:39,5.7,0.1,16.72,6.3,45.3
05-02-2022 16:59,5.4,0.1,18.3,10.8,4.5
05-02-2022 17:19,5.5,0,19.35,8.7,47.8
05-02-2022 17:39,5.2,0.1,18.32,8.2,45.2
05-02-2022 17:59,5.9,0,15.76,8.2,18
05-02-2022 18:19,5.9,0.1,16.14,7.8,55.5
05-02-2022 18:39,6,0.1,18.3,7.8,53.6
05-02-2022 18:59,6,0.1,15.73,9.4,66.4
05-02-2022 19:19,5,0,18.52,8.8,82.3
05-02-2022 19:39,5.8,0.1,18.07,11.9,44.6
05-02-2022 19:59,5,0.1,18.48,10.1,61
05-02-2022 20:19,5.4,0.1,14.68,9.2,16.3
05-02-2022 20:39,6,0,16.22,8,77.8
05-02-2022 20:59,5.5,0.1,16.85,6.1,53.1
05-02-2022 21:19,6,0.1,16.85,6.6,72.4
05-02-2022 21:39,5.6,0.1,19.83,10.1,65.3
05-02-2022 21:59,5.4,0.1,16.13,6.4,81.8
05-02-2022 22:19,5,0,14.97,8,89
05-02-2022 22:39,5.9,0,18.71,10.9,42.3
05-02-2022 22:59,5.8,0,14.68,10.4,36.3
05-02-2022 23:19,5.1,0,19.61,9.9,88.9
05-02-2022 23:39,5.5,0.1,16.43,10.5,30.9
05-02-2022 23:59,5.3,0,18.88,9.5,25.3
06-02-2022 00:19,5.3,0,14.32,10,76.5
06-02-2022 00:39,5.9,0.1,14.95,11.7,89.6
06-02-2022 00:59,5,0.1,17.4,7,68.9
06-02-2022 01:19,5.2,0.1,19.81,10.8,85.2
06-02-2022 01:39,5.5,0.1,14.23,7.3,76.5
06-02-2022 01:59,5.5,0,14.05,10,23.8
06-02-2022 02:19,5.7,0.1,18.85,9.5,38.8
06-02-2022 02:39,6,0,19.47,10.4,66.8
06-02-2022 02:59,6,0,16.23,9,29.1
06-02-2022 03:19,5.2,0.1,16.32,6.8,60.7
06-02-2022 03:39,5.4,0,15.44,8.7,71.8
06-02-2022 03:59,5.5,0.1,18.89,6.5,29.7
06-02-2022 04:19,5.5,0,17.23,10.5,64.3
06-02-2022 04:39,5.2,0.1,16.73,10.4,9
06-02-2022 04:59,5.1,0.1,18.48,6.7,5.1
06-02-2022 05:19,5.6,0,17.36,11.9,19.7
06-02-2022 05:39,5.3,0.1,14.96,10.7,34.8
06-02-2022 05:59,5.9,0,18.84,11.4,51.7
06-02-2022 06:19,5,0,15.62,10.4,71
06-02-2022 06:39,5.5,0.1,19.67,11.5,49.8
06-02-2022 06:59,5.6,0,15.07,10.7,57.9
06-02-2022 07:19,5.8,0.1,17.83,9.6,26.6
06-02-2022 07:39,5.1,0.1,19.51,10.8,47.8
06-02-2022 07:59,5.8,0.1,15.83,6.2,45.1
06-02-2022 08:19,5.1,0,14.87,11.7,82
06-02-2022 08:39,5.4,0,15.37,11.2,10.9
06-02-2022 08:59,5.5,0,15.49,9.2,23.7
06-02-2022 09:19,6,0.1,16.48,8.9,43.7
06-02-2022 09:39,5.9,0,18.27,6.8,45.5
06-02-2022 09:59,5.7,0,14.37,9.4,12.8
06-02-2022 10:19,5.9,0.1,17.01,10.6,53.3
06-02-2022 10:39,5.2,0,17.75,6.8,22
06-02-2022 10:59,5.5,0.1,18.95,10.1,17.5
06-02-2022 11:19,5.5,0.1,19.69,12,32.6
06-02-2022 11:39,5,0.1,19.1,6.5,81
06-02-2022 11:59,5.2,0.1,16.76,7.4,53
06-02-2022 12:19,5.1,0.1,14.73,7.5,11.9
06-02-2022 12:39,5.7,0,19.13,10.8,81
06-02-2022 12:59,5.4,0.1,14.92,11.7,33.3
06-02-2022 13:19,5.8,0.1,18.11,8.8,77.7
06-02-2022 13:39,5.1,0.1,17.5,8.3,30.7
06-02-2022 13:59,6,0,17.64,8.6,10.2
06-02-2022 14:19,6,0.1,17.36,6.7,36.8
06-02-2022 14:39,5.9,0.1,17.78,7.1,76.8
06-02-2022 14:59,5.2,0.1,19.1,11.8,40.2
06-02-2022 15:19,5.3,0,19.44,10,90
06-02-2022 15:39,5.2,0,19.1,6.8,25.9
06-02-2022 15:59,5.8,0.1,16.16,11.7,81.3
06-02-2022 16:19,5.2,0,17.31,9,21.9
06-02-2022 16:39,5.7,0.1,17.45,6.1,21.4
06-02-2022 16:59,6,0,15.18,10.6,51.3
06-02-2022 17:19,5.2,0.1,16.55,8.5,88.3
06-02-2022 17:39,5,0,17.44,8.1,16.2
06-02-2022 17:59,5.8,0.1,16.77,6.1,84.8
06-02-2022 18:19,5.9,0.1,19.26,11.9,16.8
06-02-2022 18:39,5,0,19.39,11.3,81.5
06-02-2022 18:59,5.5,0,18.29,9.4,62.8
06-02-2022 19:19,5.6,0,18.76,8,54.7
06-02-2022 19:39,6,0.1,16.53,8.3,67.6
06-02-2022 19:59,5.3,0,18.72,8.6,67.3
06-02-2022 20:19,5.9,0.1,17.94,9,76.3
06-02-2022 20:39,5.9,0,19.28,8.5,33.2
06-02-2022 20:59,5.5,0,16.72,8.3,47.5
06-02-2022 21:19,5,0,17.22,9.1,0.9
06-02-2022 21:39,6,0.1,16.72,9.2,62
06-02-2022 21:59,6,0,19.75,7.5,24.4
06-02-2022 22:19,5.2,0.1,14.09,10.6,41.1
06-02-2022 22:39,5.5,0.1,17.91,11.1,39
06-02-2022 22:59,5.7,0.1,16.89,10.8,24.2
06-02-2022 23:19,5.2,0.1,16.15,11.4,41.7
06-02-2022 23:39,5.5,0,17.29,11.5,37.5
06-02-2022 23:59,5.6,0.1,18.22,10.8,80.5
07-02-2022 00:19,5.6,0.1,14.98,11.4,20.9
07-02-2022 00:39,5.4,0,16.42,6.4,69.2
07-02-2022 00:59,5,0,19.68,9.7,81.5
07-02-2022 01:19,5,0.1,18.75,11.3,89.6
07-02-2022 01:39,6,0,19.51,6.9,8.1
07-02-2022 01:59,5.2,0,14.91,10.3,77.5
07-02-2022 02:19,6,0.1,14.93,6.6,39.6
07-02-2022 02:39,5.4,0,15.43,9.4,57.9
07-02-2022 02:59,5.8,0,18.43,8.6,55.1
07-02-2022 03:19,5.2,0.1,16.06,10,84.9
07-02-2022 03:39,5.5,0.1,19.05,10.6,44.7
07-02-2022 03:59,5.9,0,15.28,9.9,55.6
07-02-2022 04:19,5,0,19.79,8.5,33.7
07-02-2022 04:39,5.6,0,19.92,9.7,65
07-02-2022 04:59,5.1,0.1,15.05,9.1,0.7
07-02-2022 05:19,5.8,0.1,18.4,11.3,89.4
07-02-2022 05:39,5.1,0,14.99,8.4,77
07-02-2022 05:59,5.8,0,19.23,8.9,75.9
07-02-2022 06:19,5,0,19.39,7.8,21
07-02-2022 06:39,5.1,0.1,18.84,6.1,41.3
07-02-2022 06:59,5,0.1,16.81,8.7,71.4
07-02-2022 07:19,5.6,0.1,15.58,7.2,27.8
07-02-2022 07:39,5.4,0,14.31,6.6,88.3
07-02-2022 07:59,5.9,0.1,15.96,10.8,6.8
07-02-2022 08:19,5.3,0,14.11,11.1,72.1
07-02-2022 08:39,5.3,0.1,18.9,6.1,75.1
07-02-2022 08:59,5.7,0.1,15.76,10.2,77.5
07-02-2022 09:19,5.2,0,17.8,10.1,74.7
07-02-2022 09:39,5.7,0.1,14.38,8.9,35
07-02-2022 09:59,6,0,19.02,10.9,33.3
07-02-2022 10:19,5.6,0.1,18.79,7.7,66.6
07-02-2022 10:39,5.9,0,19.44,7.4,18.7
07-02-2022 10:59,5.5,0,14.62,8.7,69.9
07-02-2022 11:19,5.5,0,17.52,10,51.1
07-02-2022 11:39,5.2,0.1,15.42,10,1.4
07-02-2022 11:59,5.2,0.1,18.68,10.4,48.5
07-02-2022 12:19,6,0,14.93,10.1,14.4
07-02-2022 12:39,5.2,0,19.7,10.4,51
07-02-2022 12:59,5.5,0,16.23,11.4,88.7
07-02-2022 13:19,5.6,0,14.39,10.6,59.5
07-02-2022 13:39,5.7,0.1,14.06,11.9,4
07-02-2022 13:59,5.7,0,14.21,11.4,77
07-02-2022 14:19,5,0,14.26,11.9,60
07-02-2022 14:39,5.8,0.1,14.92,11.4,35.4
07-02-2022 14:59,5.5,0.1,16.99,8.4,81.8
07-02-2022 15:19,6,0.1,17.18,9.5,3.1
07-02-2022 15:39,5.8,0,16.31,7.6,9.5
07-02-2022 15:59,6,0,17.58,11.9,39.5
07-02-2022 16:19,5.4,0,16.72,8.7,59.8
07-02-2022 16:39,5.8,0.1,15.06,7.3,38.2
07-02-2022 16:59,5.8,0,18.41,10.5,43.8
07-02-2022 17:19,5.2,0.1,18.24,9.5,37.3
07-02-2022 17:39,6,0,14.95,6.6,5.8
07-02-2022 17:59,5.5,0,16.53,10.4,30.6
07-02-2022 18:19,5.1,0.1,14.49,8.3,53.4
07-02-2022 18:39,5.3,0,17.65,8,2.1
07-02-2022 18:59,5.8,0,18.73,7.3,67
07-02-2022 19:19,6,0.1,14.24,8.6,56.6
07-02-2022 19:39,6,0,16.56,6.2,87.7
07-02-2022 19:59,5.4,0,19.47,9,24.5
07-02-2022 20:19,5.5,0.1,18.09,10.8,70.3
07-02-2022 20:39,5.2,0,18.27,10.9,52.4
07-02-2022 20:59,5.1,0,16.38,6.4,25.4
07-02-2022 21:19,5.1,0.1,17.18,9.4,62.4
07-02-2022 21:39,5.5,0.1,14.65,10.8,24.7
07-02-2022 21:59,5,0,16.49,10.2,12.7
07-02-2022 22:19,5.3,0.1,16.1,9,6.1
07-02-2022 22:39,5.3,0,17.88,8.2,79.5
07-02-2022 22:59,5.5,0,15.02,11.8,87.3
